district_id,school,enroll_d,frl_enroll_d,pct_frl
0409060,32,19796,15322,0.774
0409090,1,156,70,0.449
0409120,1,88,67,0.761
0409160,5,2259,1853,0.82
0409190,4,1219,246,0.202
0409250,3,1059,1050,0.992
0409310,2,681,148,0.217
0409390,2,1068,425,0.398
0409430,5,1677,683,0.407
0409460,5,1843,683,0.371
0409510,1,37,16,0.432
0409540,2,54,37,0.685
0409570,1,39,28,0.718
0409600,17,8566,4296,0.502
0409630,6,10977,6830,0.622
0409733,2,696,91,0.131
0500001,3,1168,718,0.615
0500006,4,1462,1462,1
0500009,3,864,635,0.735
0500012,3,745,394,0.529
0500015,7,4219,1621,0.384
0500016,2,766,480,0.627
