district_id,school_id,school_name,school_type,school_level,enroll21_nces
3700090,370009000028,ALEXANDER CENTRAL HIGH,1-Regular school,High,1229
3700090,370009003396,ALEXANDER EARLY COLLEGE,1-Regular school,High,230
3610650,361065000837,ALEXANDER HAMILTON HIGH SCHOOL,1-Regular school,High,455
3404590,340459003043,ALEXANDER HAMILTON PREPARATORY ACADEMY,1-Regular school,High,1000
0622710,062271003064,ALEXANDER HAMILTON SENIOR HIGH,1-Regular school,High,2533
1301860,130186001976,ALEXANDER HIGH SCHOOL,1-Regular school,High,1931
3801760,380176000004,ALEXANDER HIGH SCHOOL,1-Regular school,High,112
3904590,390459002378,ALEXANDER JR. / SR. HIGH SCHOOL,1-Regular school,High,761
3602580,360258000043,ALEXANDER MIDDLE SCHOOL-HIGH SCHOOL,1-Regular school,High,456
1201500,120150002783,ALEXANDER W DREYFOOS JUNIOR SCHOOL OF THE ARTS,1-Regular school,High,1363
2703060,270306000085,ALEXANDRIA AREA HIGH SCHOOL,1-Regular school,High,1307
3602670,360267004333,ALEXANDRIA CENTRAL HIGH SCHOOL,1-Regular school,High,238
5100120,510012000054,ALEXANDRIA CITY HIGH SCHOOL,1-Regular school,High,4173
0100540,010054000232,ALEXANDRIA HIGH SCHOOL,1-Regular school,High,506
1800120,180012000009,ALEXANDRIA MONROE ACADEMY AND CENTRAL OFFICE,1-Regular school,High,8
2201290,220129001040,ALEXANDRIA SENIOR HIGH SCHOOL,1-Regular school,High,1363
1800120,180012000011,ALEXANDRIA-MONROE HIGH SCHOOL,1-Regular school,High,763
2007950,200795002094,ALFRED FAIRFAX ACADEMY,1-Regular school,High,58
2200330,220033000216,ALFRED M. BARBE HIGH SCHOOL,1-Regular school,High,1810
3602700,360270000046,ALFRED-ALMOND JUNIOR-SENIOR HIGH SCHOOL,1-Regular school,High,272
5500150,550015000016,ALGOMA HIGH,1-Regular school,High,304
1903360,190336000030,ALGONA HIGH SCHOOL,1-Regular school,High,438
2602190,260219003960,ALGONAC JUNIORSENIOR HIGH SCHOOL,1-Regular school,High,677
2508910,250891001441,ALGONQUIN REGIONAL HIGH,1-Regular school,High,1355
0600153,060015310929,ALHAMBRA HIGH,1-Regular school,High,2301
0406330,040633000538,ALHAMBRA HIGH SCHOOL,1-Regular school,High,2364
0624030,062403003612,ALHAMBRA SENIOR HIGH,1-Regular school,High,1208
4807800,480780000092,ALICE H S,1-Regular school,High,1276
0102730,010273001098,ALICEVILLE HIGH SCHOOL,1-Regular school,High,347
4807830,480783012389,ALIEF EARLY COLLEGE H S,1-Regular school,High,401
4002720,400272000023,ALINE-CLEO HS,1-Regular school,High,28
4202130,420213007336,ALIQUIPPA JSHS,1-Regular school,High,424
0633980,063398005332,ALISAL HIGH,1-Regular school,High,3042
0607440,060744002328,ALISO NIGUEL HIGH,1-Regular school,High,2895
3600097,360009705537,ALL CITY LEADERSHIP SECONDARY SCHOOL,1-Regular school,High,431
0601989,060198910387,ALL TRIBES CHARTER,1-Regular school,High,62
1301290,130129003781,ALLATOONA HIGH SCHOOL,1-Regular school,High,1833
2602220,260222003966,ALLEGAN HIGH SCHOOL,1-Regular school,High,581
2400030,240003000001,ALLEGANY HIGH,1-Regular school,High,736
3600015,360001500053,ALLEGANY-LIMESTONE MIDDLE-HIGH SCHOOL,1-Regular school,High,623
5100152,510015201883,ALLEGHANY HIGH,1-Regular school,High,619
3700120,370012000037,ALLEGHANY HIGH,1-Regular school,High,407
4202310,420231004664,ALLEGHENY-CLARION VALLEY HS,1-Regular school,High,258
4501440,450144001655,ALLEGRO CHARTER SCHOOL OF MUSIC,1-Regular school,High,201
2100070,210007000010,ALLEN COUNTY-SCOTTSVILLE HIGH SCHOOL,1-Regular school,High,896
1201740,120174002262,ALLEN D NEASE SENIOR HIGH SCHOOL,1-Regular school,High,3105
3904575,390457502331,ALLEN EAST HIGH SCHOOL,1-Regular school,High,328
4807890,480789000117,ALLEN H S,1-Regular school,High,5328
3102880,310288000010,ALLEN HIGH SCHOOL,1-Regular school,High,74
4002760,400276000025,ALLEN HS,1-Regular school,High,139
2602520,260252003971,ALLEN PARK HIGH SCHOOL,1-Regular school,High,1171
2900025,290002503233,ALLEN VILLAGE HIGH SCHOOL,1-Regular school,High,164
4500750,450075000064,ALLENDALE FAIRFAX HIGH,1-Regular school,High,295
2602550,260255003976,ALLENDALE HIGH SCHOOL,1-Regular school,High,787
3416560,341656004124,ALLENTOWN HIGH SCHOOL,1-Regular school,High,1166
